Team,Date,Score,Turnovers,Blocks,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Away Score,Home Score,Points/Total
Radicals,7/2/2021,MAD 15 - 18 CHI,13,7,0.96,0.43,0.65,0.54,0.13,0.5,0.77,15,18,0.455
Sol,7/2/2021,SEA 16 - 23 AUS,19,16,0.93,0.58,0.56,0.43,0.48,0.63,0.84,16,23,0.59
Union,7/2/2021,MAD 15 - 18 CHI,7,7,0.98,0.8,0.75,0.67,0.3,0.6,1.0,15,18,0.545
AlleyCats,7/3/2021,MAD 26 - 22 IND,15,6,0.96,0.64,0.64,0.56,0.17,0.8,0.9,26,22,0.458
Cannons,7/3/2021,RAL 29 - 15 TB,28,8,0.9,0.38,0.48,0.38,0.0,0.0,0.67,29,15,0.341
Cascades,7/3/2021,SEA 16 - 24 DAL,22,11,0.89,0.38,0.54,0.45,0.11,0.25,0.71,16,24,0.4
Flyers,7/3/2021,RAL 29 - 15 TB,13,14,0.95,0.63,0.88,0.75,0.45,0.64,0.87,29,15,0.341
Legion,7/3/2021,SEA 16 - 24 DAL,14,12,0.95,0.75,0.83,0.63,0.35,0.6,0.68,16,24,0.6
Phoenix,7/3/2021,PHI 20 - 23 PIT,15,5,0.95,0.57,0.68,0.55,0.14,0.75,0.87,20,23,0.465
Radicals,7/3/2021,MAD 26 - 22 IND,10,8,0.96,0.54,0.74,0.71,0.32,0.69,0.9,26,22,0.542
Thunderbirds,7/3/2021,PHI 20 - 23 PIT,11,8,0.96,0.69,0.73,0.7,0.28,0.54,0.8,20,23,0.535
Empire,7/9/2021,PHI 20 - 27 NY,10,11,0.96,1.0,0.86,0.72,0.32,0.75,0.86,20,27,0.574
Legion,7/9/2021,AUS 17 - 16 DAL,29,9,0.87,0.57,0.58,0.39,0.28,0.29,0.71,17,16,0.485
Phoenix,7/9/2021,PHI 20 - 27 NY,17,4,0.94,0.6,0.64,0.58,0.1,0.33,0.8,20,27,0.426
Sol,7/9/2021,AUS 17 - 16 DAL,26,16,0.89,0.5,0.61,0.38,0.32,0.4,0.62,17,16,0.485
AlleyCats,7/10/2021,MIN 25 - 18 IND,14,2,0.94,0.6,0.65,0.57,0.05,0.5,0.86,25,18,0.419
Breeze,7/10/2021,DC 19 - 14 ATL,15,14,0.96,0.64,0.56,0.43,0.48,0.67,0.79,19,14,0.576
Cannons,7/10/2021,TB 19 - 31 RAL,27,9,0.9,0.6,0.52,0.43,0.1,0.33,0.82,19,31,0.38
Flyers,7/10/2021,TB 19 - 31 RAL,14,13,0.94,0.71,0.9,0.76,0.36,0.6,0.9,19,31,0.62
Glory,7/10/2021,PHI 23 - 22 BOS,19,11,0.93,0.5,0.64,0.57,0.25,0.46,0.7,23,22,0.489
Hustle,7/10/2021,DC 19 - 14 ATL,20,9,0.91,0.8,0.52,0.42,0.19,0.38,0.64,19,14,0.424
Legion,7/10/2021,AUS 20 - 21 DAL,25,13,0.88,0.69,0.68,0.54,0.25,0.3,0.73,20,21,0.512
Phoenix,7/10/2021,PHI 23 - 22 BOS,16,7,0.94,0.89,0.67,0.53,0.28,0.7,0.83,23,22,0.511
Radicals,7/10/2021,CHI 16 - 19 MAD,16,6,0.95,0.67,0.72,0.54,0.29,0.5,0.67,16,19,0.543
Sol,7/10/2021,AUS 20 - 21 DAL,27,9,0.9,0.58,0.63,0.42,0.23,0.45,0.52,20,21,0.512
Union,7/10/2021,CHI 16 - 19 MAD,18,10,0.94,0.67,0.62,0.5,0.17,0.33,0.64,16,19,0.457
Wind Chill,7/10/2021,MIN 25 - 18 IND,7,7,0.98,0.8,0.85,0.85,0.27,0.58,0.83,25,18,0.581
Union,7/11/2021,MIN 20 - 18 CHI,17,11,0.93,0.44,0.65,0.59,0.25,0.38,0.94,20,18,0.474
Wind Chill,7/11/2021,MIN 20 - 18 CHI,15,9,0.96,1.0,0.75,0.54,0.25,0.71,0.83,20,18,0.526
Cascades,7/16/2021,DAL 18 - 22 SEA,14,6,0.93,0.65,0.75,0.63,0.29,0.58,0.89,18,22,0.55
Hustle,7/16/2021,ATL 20 - 15 PHI,16,12,0.93,0.5,0.82,0.58,0.27,0.43,0.63,20,15,0.571
Legion,7/16/2021,DAL 18 - 22 SEA,17,10,0.95,0.29,0.63,0.52,0.15,0.43,0.88,18,22,0.45
Phoenix,7/16/2021,ATL 20 - 15 PHI,22,7,0.92,0.57,0.67,0.48,0.06,0.11,0.86,20,15,0.429
AlleyCats,7/17/2021,IND 16 - 17 MAD,18,11,0.93,0.62,0.53,0.42,0.28,0.56,0.67,16,17,0.485
Aviators,7/17/2021,AUS 21 - 20 LA,26,13,0.88,0.6,0.61,0.5,0.27,0.33,0.6,21,20,0.488
Breeze,7/17/2021,ATL 17 - 13 DC,20,10,0.95,0.29,0.37,0.27,0.33,0.71,0.7,17,13,0.433
Flyers,7/17/2021,RAL 27 - 16 PIT,16,14,0.93,0.58,0.94,0.71,0.37,0.53,0.9,27,16,0.372
Hustle,7/17/2021,ATL 17 - 13 DC,15,11,0.92,0.88,0.6,0.53,0.42,0.47,1.0,17,13,0.567
Legion,7/17/2021,DAL 23 - 20 SJ,12,9,0.97,0.55,0.81,0.71,0.24,0.5,0.86,23,20,0.535
Mechanix,7/17/2021,DET 12 - 25 MIN,30,6,0.91,0.42,0.37,0.26,0.15,0.29,0.54,12,25,0.324
Radicals,7/17/2021,IND 16 - 17 MAD,17,10,0.95,0.0,0.5,0.41,0.42,0.57,0.81,16,17,0.515
Sol,7/17/2021,AUS 21 - 20 LA,25,8,0.92,0.6,0.59,0.39,0.35,0.57,0.67,21,20,0.488
Spiders,7/17/2021,DAL 23 - 20 SJ,15,3,0.91,0.75,0.71,0.59,0.14,0.5,0.82,23,20,0.465
Thunderbirds,7/17/2021,RAL 27 - 16 PIT,27,7,0.91,0.67,0.54,0.41,0.06,0.17,0.71,27,16,0.372
Wind Chill,7/17/2021,DET 12 - 25 MIN,18,19,0.92,0.77,0.85,0.61,0.52,0.56,0.75,12,25,0.676
AlleyCats,7/18/2021,IND 18 - 24 CHI,17,4,0.95,0.38,0.58,0.52,0.15,0.43,0.93,18,24,0.429
Growlers,7/18/2021,AUS 20 - 21 SD,25,10,0.86,1.0,0.67,0.42,0.3,0.5,0.74,20,21,0.512
Sol,7/18/2021,AUS 20 - 21 SD,27,17,0.91,0.47,0.61,0.48,0.29,0.33,0.74,20,21,0.512
Union,7/18/2021,IND 18 - 24 CHI,9,8,0.97,0.63,0.75,0.68,0.35,0.75,0.86,18,24,0.571
Aviators,7/23/2021,LA 21 - 16 SEA,15,13,0.94,0.64,0.82,0.61,0.3,0.47,0.88,21,16,0.568
Cascades,7/23/2021,LA 21 - 16 SEA,22,9,0.92,0.36,0.61,0.47,0.12,0.25,0.81,21,16,0.432
Growlers,7/23/2021,SD 15 - 19 DAL,19,3,0.89,0.31,0.57,0.43,0.18,0.43,0.86,15,19,0.441
Legion,7/23/2021,SD 15 - 19 DAL,16,11,0.95,0.42,0.76,0.65,0.29,0.4,0.88,15,19,0.559
AlleyCats,7/24/2021,IND 18 - 13 DET,29,16,0.86,1.0,0.8,0.44,0.3,0.27,0.8,18,13,0.581
Aviators,7/24/2021,LA 20 - 18 SJ,18,10,0.93,0.67,0.7,0.58,0.27,0.4,0.78,20,18,0.526
Cannons,7/24/2021,BOS 26 - 23 TB,20,9,0.91,0.64,0.71,0.59,0.12,0.33,0.92,26,23,0.469
Empire,7/24/2021,NY 21 - 22 ATL,17,10,0.95,0.55,0.71,0.57,0.18,0.5,0.84,21,22,0.488
Glory,7/24/2021,BOS 26 - 23 TB,17,11,0.93,0.46,0.8,0.65,0.21,0.46,0.8,26,23,0.531
Growlers,7/24/2021,SD 21 - 17 AUS,19,15,0.92,0.88,0.63,0.48,0.39,0.56,0.8,21,17,0.553
Hustle,7/24/2021,NY 21 - 22 ATL,14,9,0.93,0.69,0.73,0.64,0.25,0.5,0.64,21,22,0.512
