Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
Royal,5/27/2022,NY 22 - 18 MTL,90% (171/191),46% (6/13),58% (14/24),45% (14/31),20% (4/20),57% (4/7),83% (10/12),20,8,0.90,0.46,0.58,0.45,0.20,0.57,0.83,22,18,0.45
AlleyCats,5/28/2022,IND 23 - 19 DET,96% (263/275),67% (6/9),67% (14/21),58% (14/24),36% (9/25),75% (9/12),77% (17/22),12,8,0.96,0.67,0.67,0.58,0.36,0.75,0.77,23,19,0.548
Breeze,5/28/2022,DC 27 - 26 TOR,97% (304/313),62% (8/13),75% (21/28),68% (21/31),21% (6/29),100% (6/6),93% (13/14),9,5,0.97,0.62,0.75,0.68,0.21,1.00,0.93,27,26,0.509
Cannons,5/28/2022,PIT 24 - 19 TB,92% (230/251),71% (10/14),50% (13/26),41% (13/32),30% (6/20),75% (6/8),71% (10/14),21,7,0.92,0.71,0.50,0.41,0.30,0.75,0.71,24,19,0.442
Cascades,5/28/2022,POR 18 - 26 SEA,91% (221/243),47% (8/17),65% (13/20),50% (13/26),46% (13/28),59% (13/22),100% (17/17),22,13,0.91,0.47,0.65,0.50,0.46,0.59,1.00,18,26,0.591
Empire,5/28/2022,NY 30 - 18 OTT,95% (285/300),75% (12/16),85% (17/20),85% (17/20),38% (12/32),50% (12/24),86% (18/21),15,14,0.95,0.75,0.85,0.85,0.38,0.50,0.86,30,18,0.625
Mechanix,5/28/2022,IND 23 - 19 DET,95% (294/310),58% (7/12),60% (15/25),54% (15/28),19% (4/21),57% (4/7),86% (12/14),16,8,0.95,0.58,0.60,0.54,0.19,0.57,0.86,23,19,0.452
Nitro,5/28/2022,POR 18 - 26 SEA,88% (209/238),56% (9/16),46% (13/28),36% (13/36),25% (5/20),42% (5/12),73% (11/15),29,12,0.88,0.56,0.46,0.36,0.25,0.42,0.73,18,26,0.409
Outlaws,5/28/2022,NY 30 - 18 OTT,87% (176/202),44% (4/9),50% (16/32),37% (16/43),10% (2/20),67% (2/3),56% (5/9),26,10,0.87,0.44,0.50,0.37,0.10,0.67,0.56,30,18,0.375
Radicals,5/28/2022,MIN 19 - 16 MAD,93% (256/274),46% (6/13),62% (13/21),54% (13/24),17% (3/18),30% (3/10),71% (10/14),18,6,0.93,0.46,0.62,0.54,0.17,0.30,0.71,19,16,0.457
Rush,5/28/2022,DC 27 - 26 TOR,96% (235/246),80% (12/15),76% (22/29),76% (22/29),14% (4/28),50% (4/8),80% (4/5),11,4,0.96,0.80,0.76,0.76,0.14,0.50,0.80,27,26,0.491
Shred,5/28/2022,SLC 20 - 21 COL,92% (238/260),41% (7/17),68% (15/22),54% (15/28),23% (5/22),36% (5/14),79% (11/14),22,11,0.92,0.41,0.68,0.54,0.23,0.36,0.79,20,21,0.488
Summit,5/28/2022,SLC 20 - 21 COL,91% (206/226),50% (8/16),68% (15/22),52% (15/29),27% (6/22),46% (6/13),69% (9/13),20,13,0.91,0.50,0.68,0.52,0.27,0.46,0.69,20,21,0.512
Thunderbirds,5/28/2022,PIT 24 - 19 TB,94% (219/234),71% (10/14),70% (14/20),64% (14/22),38% (10/26),59% (10/17),86% (12/14),15,9,0.94,0.71,0.70,0.64,0.38,0.59,0.86,24,19,0.558
Wind Chill,5/28/2022,MIN 19 - 16 MAD,95% (315/330),38% (3/8),67% (12/18),48% (12/25),33% (7/21),70% (7/10),79% (15/19),15,11,0.95,0.38,0.67,0.48,0.33,0.70,0.79,19,16,0.543
Outlaws,6/1/2022,MTL 24 - 21 OTT,93% (222/239),60% (9/15),65% (17/26),52% (17/33),20% (4/20),80% (4/5),92% (11/12),17,10,0.93,0.60,0.65,0.52,0.20,0.80,0.92,24,21,0.467
Royal,6/1/2022,MTL 24 - 21 OTT,95% (239/252),53% (8/15),80% (16/20),76% (16/21),27% (7/26),47% (7/15),82% (14/17),13,9,0.95,0.53,0.80,0.76,0.27,0.47,0.82,24,21,0.533
Breeze,6/3/2022,BOS 20 - 25 DC,94% (255/270),50% (4/8),73% (16/22),64% (16/25),33% (9/27),60% (9/15),100% (16/16),15,7,0.94,0.50,0.73,0.64,0.33,0.60,1.00,20,25,0.556
Flyers,6/3/2022,CAR 26 - 18 DAL,97% (270/279),72% (13/18),90% (18/20),82% (18/22),30% (8/27),57% (8/14),100% (15/15),9,11,0.97,0.72,0.90,0.82,0.30,0.57,1.00,26,18,0.591
Glory,6/3/2022,BOS 20 - 25 DC,93% (275/295),50% (3/6),59% (16/27),48% (16/33),18% (4/22),50% (4/8),71% (15/21),20,9,0.93,0.50,0.59,0.48,0.18,0.50,0.71,20,25,0.444
Legion,6/3/2022,CAR 26 - 18 DAL,93% (237/255),70% (7/10),67% (18/27),55% (18/33),0% (0/20),0% (0/3),86% (12/14),18,5,0.93,0.70,0.67,0.55,0.00,0.00,0.86,26,18,0.409
Radicals,6/3/2022,MAD 20 - 19 PIT,94% (250/267),45% (5/11),67% (14/21),56% (14/25),27% (6/22),50% (6/12),81% (13/16),17,12,0.94,0.45,0.67,0.56,0.27,0.50,0.81,20,19,0.513
Shred,6/3/2022,OAK 21 - 30 SLC,92% (221/239),50% (5/10),83% (19/23),61% (19/31),35% (11/31),65% (11/17),96% (22/23),18,11,0.92,0.50,0.83,0.61,0.35,0.65,0.96,21,30,0.588
Spiders,6/3/2022,OAK 21 - 30 SLC,90% (249/276),43% (9/21),55% (17/31),46% (17/37),17% (4/23),33% (4/12),82% (14/17),27,7,0.90,0.43,0.55,0.46,0.17,0.33,0.82,21,30,0.412
Thunderbirds,6/3/2022,MAD 20 - 19 PIT,95% (337/353),75% (6/8),68% (15/22),54% (15/28),19% (4/21),50% (4/8),73% (11/15),16,9,0.95,0.75,0.68,0.54,0.19,0.50,0.73,20,19,0.487
AlleyCats,6/4/2022,IND 13 - 28 MIN,91% (284/312),75% (6/8),40% (12/30),36% (12/33),7% (1/15),14% (1/7),89% (8/9),28,5,0.91,0.75,0.40,0.36,0.07,0.14,0.89,13,28,0.317
Aviators,6/4/2022,LA 21 - 20 POR,94% (270/286),57% (4/7),67% (14/21),48% (14/29),26% (6/23),75% (6/8),80% (16/20),16,6,0.94,0.57,0.67,0.48,0.26,0.75,0.80,21,20,0.512
Cannons,6/4/2022,ATL 18 - 16 TB,89% (230/259),67% (8/12),65% (13/20),37% (13/35),17% (3/18),27% (3/11),78% (7/9),29,10,0.89,0.67,0.65,0.37,0.17,0.27,0.78,18,16,0.471
Empire,6/4/2022,NY 25 - 8 TOR,95% (242/256),64% (7/11),100% (10/10),83% (10/12),58% (15/26),56% (15/27),89% (17/19),14,13,0.95,0.64,1.00,0.83,0.58,0.56,0.89,25,8,0.758
Flyers,6/4/2022,CAR 20 - 21 ATX,96% (270/280),75% (6/8),74% (17/23),71% (17/24),14% (3/21),50% (3/6),86% (12/14),10,6,0.96,0.75,0.74,0.71,0.14,0.50,0.86,20,21,0.488
Glory,6/4/2022,BOS 22 - 24 PHI,92% (250/271),50% (9/18),68% (17/25),52% (17/33),21% (5/24),50% (5/10),83% (10/12),21,9,0.92,0.50,0.68,0.52,0.21,0.50,0.83,22,24,0.478
Hustle,6/4/2022,ATL 18 - 16 TB,87% (171/197),54% (7/13),72% (13/18),50% (13/26),20% (4/20),22% (4/18),81% (13/16),26,23,0.87,0.54,0.72,0.50,0.20,0.22,0.81,18,16,0.529
Mechanix,6/4/2022,CHI 28 - 20 DET,90% (257/285),45% (5/11),60% (18/30),46% (18/39),9% (2/22),22% (2/9),87% (13/15),28,11,0.90,0.45,0.60,0.46,0.09,0.22,0.87,28,20,0.417
Nitro,6/4/2022,LA 21 - 20 POR,92% (207/224),72% (13/18),70% (16/23),64% (16/25),19% (4/21),29% (4/14),92% (11/12),17,9,0.92,0.72,0.70,0.64,0.19,0.29,0.92,21,20,0.488
Phoenix,6/4/2022,BOS 22 - 24 PHI,93% (263/282),56% (9/16),75% (18/24),62% (18/29),24% (6/25),40% (6/15),89% (16/18),19,11,0.93,0.56,0.75,0.62,0.24,0.40,0.89,22,24,0.522
Rush,6/4/2022,NY 25 - 8 TOR,89% (216/244),38% (3/8),31% (8/26),22% (8/37),0% (0/10),0% (0/2),43% (3/7),28,6,0.89,0.38,0.31,0.22,0.00,0.00,0.43,25,8,0.242
Sol,6/4/2022,CAR 20 - 21 ATX,96% (217/226),92% (11/12),81% (17/21),71% (17/24),17% (4/23),67% (4/6),100% (15/15),9,5,0.96,0.92,0.81,0.71,0.17,0.67,1.00,20,21,0.512
Spiders,6/4/2022,OAK 16 - 22 COL,92% (281/304),56% (10/18),58% (14/24),47% (14/30),12% (2/17),20% (2/10),71% (10/14),23,8,0.92,0.56,0.58,0.47,0.12,0.20,0.71,16,22,0.421
Summit,6/4/2022,OAK 16 - 22 COL,91% (173/190),63% (10/16),76% (13/17),54% (13/24),38% (9/24),56% (9/16),62% (13/21),17,14,0.91,0.63,0.76,0.54,0.38,0.56,0.62,16,22,0.579
Union,6/4/2022,CHI 28 - 20 DET,92% (195/213),82% (9/11),91% (20/22),69% (20/29),27% (8/30),47% (8/17),80% (16/20),18,16,0.92,0.82,0.91,0.69,0.27,0.47,0.80,28,20,0.583
Wind Chill,6/4/2022,IND 13 - 28 MIN,96% (274/286),75% (9/12),80% (12/15),60% (12/20),55% (16/29),76% (16/21),78% (21/27),12,18,0.96,0.75,0.80,0.60,0.55,0.76,0.78,13,28,0.683
Aviators,6/5/2022,LA 14 - 23 SEA,89% (250/281),25% (3/12),54% (13/24),42% (13/31),6% (1/16),7% (1/14),69% (11/16),31,8,0.89,0.25,0.54,0.42,0.06,0.07,0.69,14,23,0.378
Cascades,6/5/2022,LA 14 - 23 SEA,91% (207/228),67% (10/15),81% (13/16),46% (13/28),42% (10/24),59% (10/17),77% (17/22),21,20,0.91,0.67,0.81,0.46,0.42,0.59,0.77,14,23,0.622
Aviators,6/10/2022,POR 16 - 17 LA,93% (298/321),54% (7/13),67% (12/18),43% (12/28),26% (5/19),38% (5/13),64% (9/14),23,14,0.93,0.54,0.67,0.43,0.26,0.38,0.64,16,17,0.515
Breeze,6/10/2022,DC 21 - 25 NY,94% (249/264),57% (4/7),63% (17/27),57% (17/30),17% (4/23),57% (4/7),89% (17/19),15,7,0.94,0.57,0.63,0.57,0.17,0.57,0.89,21,25,0.457
Empire,6/10/2022,DC 21 - 25 NY,96% (260/271),56% (5/9),74% (17/23),68% (17/25),30% (8/27),67% (8/12),94% (17/18),11,9,0.96,0.56,0.74,0.68,0.30,0.67,0.94,21,25,0.543
Nitro,6/10/2022,POR 16 - 17 LA,90% (201/224),11% (1/9),68% (13/19),50% (13/26),17% (3/18),23% (3/13),75% (12/16),23,13,0.90,0.11,0.68,0.50,0.17,0.23,0.75,16,17,0.485
Radicals,6/10/2022,MAD 21 - 22 CHI,94% (290/308),45% (5/11),71% (17/24),50% (17/34),17% (4/23),80% (4/5),82% (14/17),18,7,0.94,0.45,0.71,0.50,0.17,0.80,0.82,21,22,0.488
Shred,6/10/2022,COL 25 - 20 SLC,93% (247/267),71% (10/14),56% (15/27),48% (15/31),23% (5/22),56% (5/9),60% (9/15),20,7,0.93,0.71,0.56,0.48,0.23,0.56,0.60,25,20,0.444
Summit,6/10/2022,COL 25 - 20 SLC,94% (237/251),89% (17/19),64% (14/22),56% (14/25),41% (11/27),73% (11/15),65% (13/20),14,8,0.94,0.89,0.64,0.56,0.41,0.73,0.65,25,20,0.556
Union,6/10/2022,MAD 21 - 22 CHI,94% (230/245),70% (7/10),83% (19/23),79% (19/24),13% (3/24),23% (3/13),78% (14/18),15,10,0.94,0.70,0.83,0.79,0.13,0.23,0.78,21,22,0.512
AlleyCats,6/11/2022,DET 18 - 32 IND,98% (276/283),80% (8/10),89% (17/19),77% (17/22),45% (15/33),88% (15/17),84% (16/19),7,13,0.98,0.80,0.89,0.77,0.45,0.88,0.84,18,32,0.64
Cannons,6/11/2022,TB 18 - 23 ATL,92% (254/277),52% (11/21),52% (13/25),45% (13/29),25% (5/20),42% (5/12),77% (10/13),23,3,0.92,0.52,0.52,0.45,0.25,0.42,0.77,18,23,0.439
Flyers,6/11/2022,DAL 15 - 23 CAR,94% (243/258),57% (8/14),94% (16/17),64% (16/25),28% (7/25),50% (7/14),89% (16/18),15,11,0.94,0.57,0.94,0.64,0.28,0.50,0.89,15,23,0.605
Growlers,6/11/2022,POR 18 - 20 SD,94% (271/288),100% (4/4),70% (14/20),58% (14/24),27% (6/22),43% (6/14),87% (13/15),17,12,0.94,1.00,0.70,0.58,0.27,0.43,0.87,18,20,0.526
Hustle,6/11/2022,TB 18 - 23 ATL,93% (225/241),100% (7/7),60% (12/20),48% (12/25),44% (11/25),73% (11/15),73% (16/22),16,13,0.93,1.00,0.60,0.48,0.44,0.73,0.73,18,23,0.561
Legion,6/11/2022,DAL 15 - 23 CAR,91% (233/257),47% (7/15),56% (14/25),45% (14/31),6% (1/17),13% (1/8),80% (4/5),24,6,0.91,0.47,0.56,0.45,0.06,0.13,0.80,15,23,0.395
Mechanix,6/11/2022,DET 18 - 32 IND,92% (249/270),73% (11/15),48% (16/33),46% (16/35),11% (2/19),40% (2/5),60% (3/5),21,2,0.92,0.73,0.48,0.46,0.11,0.40,0.60,18,32,0.36
Nitro,6/11/2022,POR 18 - 20 SD,93% (236/255),54% (7/13),64% (14/22),48% (14/29),20% (4/20),40% (4/10),88% (15/17),19,11,0.93,0.54,0.64,0.48,0.20,0.40,0.88,18,20,0.474
Royal,6/11/2022,TOR 21 - 20 MTL,92% (197/214),60% (6/10),73% (16/22),62% (16/26),19% (4/21),36% (4/11),74% (17/23),17,6,0.92,0.60,0.73,0.62,0.19,0.36,0.74,21,20,0.488
Rush,6/11/2022,TOR 21 - 20 MTL,95% (270/285),82% (9/11),71% (15/21),56% (15/27),27% (6/22),60% (6/10),70% (14/20),15,14,0.95,0.82,0.71,0.56,0.27,0.60,0.70,21,20,0.512
Spiders,6/11/2022,COL 29 - 24 OAK,94% (272/288),58% (7/12),67% (20/30),65% (20/31),15% (4/26),44% (4/9),86% (12/14),16,4,0.94,0.58,0.67,0.65,0.15,0.44,0.86,29,24,0.453
Summit,6/11/2022,COL 29 - 24 OAK,95% (223/234),69% (9/13),77% (20/26),65% (20/31),30% (9/30),82% (9/11),86% (18/21),11,9,0.95,0.69,0.77,0.65,0.30,0.82,0.86,29,24,0.547
Thunderbirds,6/11/2022,PIT 14 - 20 MIN,91% (267/293),45% (5/11),45% (10/22),30% (10/33),25% (4/16),44% (4/9),50% (9/18),26,8,0.91,0.45,0.45,0.30,0.25,0.44,0.50,14,20,0.412
Wind Chill,6/11/2022,PIT 14 - 20 MIN,92% (255/276),56% (5/9),63% (10/16),50% (10/20),45% (10/22),45% (10/22),70% (16/23),21,12,0.92,0.56,0.63,0.50,0.45,0.45,0.70,14,20,0.588
Cascades,6/17/2022,SEA 19 - 20 OAK,93% (319/344),44% (4/9),65% (15/23),47% (15/32),20% (4/20),33% (4/12),86% (12/14),25,10,0.93,0.44,0.65,0.47,0.20,0.33,0.86,19,20,0.487
Flyers,6/17/2022,CAR 22 - 18 ATL,96% (338/351),77% (10/13),75% (15/20),54% (15/28),30% (7/23),88% (7/8),81% (13/16),13,11,0.96,0.77,0.75,0.54,0.30,0.88,0.81,22,18,0.55
Glory,6/17/2022,OTT 18 - 19 BOS,91% (244/268),56% (9/16),68% (13/19),48% (13/27),30% (6/20),35% (6/17),65% (11/17),24,11,0.91,0.56,0.68,0.48,0.30,0.35,0.65,18,19,0.514
Hustle,6/17/2022,CAR 22 - 18 ATL,94% (246/262),90% (9/10),70% (16/23),67% (16/24),10% (2/20),20% (2/10),77% (10/13),16,6,0.94,0.90,0.70,0.67,0.10,0.20,0.77,22,18,0.45
Outlaws,6/17/2022,OTT 18 - 19 BOS,91% (238/262),50% (6/12),70% (14/20),45% (14/31),21% (4/19),33% (4/12),87% (13/15),24,14,0.91,0.50,0.70,0.45,0.21,0.33,0.87,18,19,0.486
Phoenix,6/17/2022,TOR 14 - 18 PHI,92% (255/276),61% (11/18),75% (12/16),44% (12/27),30% (6/20),46% (6/13),90% (9/10),21,15,0.92,0.61,0.75,0.44,0.30,0.46,0.90,14,18,0.563
Rush,6/17/2022,TOR 14 - 18 PHI,90% (231/257),33% (2/6),60% (12/20),46% (12/26),6% (1/16),8% (1/13),60% (9/15),26,11,0.90,0.33,0.60,0.46,0.06,0.08,0.60,14,18,0.438
Sol,6/17/2022,ATX 21 - 24 CHI,93% (259/278),63% (12/19),62% (16/26),55% (16/29),22% (5/23),42% (5/12),78% (14/18),19,9,0.93,0.63,0.62,0.55,0.22,0.42,0.78,21,24,0.467
Spiders,6/17/2022,SEA 19 - 20 OAK,91% (255/280),73% (8/11),65% (13/20),45% (13/29),30% (7/23),44% (7/16),60% (9/15),25,10,0.91,0.73,0.65,0.45,0.30,0.44,0.60,19,20,0.513
Union,6/17/2022,ATX 21 - 24 CHI,93% (211/226),77% (10/13),74% (17/23),59% (17/29),27% (7/26),64% (7/11),72% (13/18),15,10,0.93,0.77,0.74,0.59,0.27,0.64,0.72,21,24,0.533
Aviators,6/18/2022,SD 20 - 19 LA,95% (258/273),70% (7/10),85% (17/20),59% (17/29),10% (2/21),33% (2/6),75% (12/16),15,6,0.95,0.70,0.85,0.59,0.10,0.33,0.75,20,19,0.487
Breeze,6/18/2022,TOR 16 - 26 DC,94% (276/295),62% (8/13),78% (14/18),58% (14/24),39% (11/28),50% (11/22),73% (16/22),19,19,0.94,0.62,0.78,0.58,0.39,0.50,0.73,16,26,0.619
Cascades,6/18/2022,SEA 14 - 22 COL,90% (238/263),42% (8/19),50% (12/24),35% (12/34),13% (2/15),40% (2/5),45% (5/11),25,6,0.90,0.42,0.50,0.35,0.13,0.40,0.45,14,22,0.389
Empire,6/18/2022,OTT 15 - 21 NY,94% (258/275),71% (5/7),76% (13/17),54% (13/24),35% (8/23),53% (8/15),71% (15/21),17,11,0.94,0.71,0.76,0.54,0.35,0.53,0.71,15,21,0.583
Growlers,6/18/2022,SD 20 - 19 LA,95% (299/314),90% (9/10),86% (18/21),75% (18/24),10% (2/20),18% (2/11),64% (9/14),15,10,0.95,0.90,0.86,0.75,0.10,0.18,0.64,20,19,0.513
Mechanix,6/18/2022,DET 21 - 24 PIT,91% (243/268),71% (10/14),63% (15/24),45% (15/33),26% (6/23),46% (6/13),85% (11/13),25,10,0.91,0.71,0.63,0.45,0.26,0.46,0.85,21,24,0.467
Outlaws,6/18/2022,OTT 15 - 21 NY,91% (235/257),50% (5/10),57% (13/23),43% (13/30),12% (2/17),20% (2/10),67% (8/12),22,9,0.91,0.50,0.57,0.43,0.12,0.20,0.67,15,21,0.417
Radicals,6/18/2022,ATX 19 - 18 MAD,92% (204/221),83% (5/6),60% (12/20),50% (12/24),30% (6/20),50% (6/12),73% (8/11),17,5,0.92,0.83,0.60,0.50,0.30,0.50,0.73,19,18,0.486
Rush,6/18/2022,TOR 16 - 26 DC,89% (231/261),33% (4/12),50% (14/28),37% (14/38),11% (2/18),25% (2/8),67% (10/15),30,13,0.89,0.33,0.50,0.37,0.11,0.25,0.67,16,26,0.381
Sol,6/18/2022,ATX 19 - 18 MAD,95% (298/315),56% (5/9),70% (14/20),54% (14/26),25% (5/20),50% (5/10),79% (15/19),17,7,0.95,0.56,0.70,0.54,0.25,0.50,0.79,19,18,0.514
Summit,6/18/2022,SEA 14 - 22 COL,94% (236/252),63% (10/16),80% (12/15),67% (12/18),42% (10/24),48% (10/21),74% (14/19),16,14,0.94,0.63,0.80,0.67,0.42,0.48,0.74,14,22,0.611
Thunderbirds,6/18/2022,DET 21 - 24 PIT,91% (249/273),50% (7/14),70% (16/23),52% (16/31),29% (7/24),44% (7/16),70% (16/23),24,16,0.91,0.50,0.70,0.52,0.29,0.44,0.70,21,24,0.533
Growlers,6/24/2022,SD 18 - 23 SLC,90% (265/296),56% (5/9),56% (14/25),37% (14/38),20% (4/20),36% (4/11),80% (12/15),31,10,0.90,0.56,0.56,0.37,0.20,0.36,0.80,18,23,0.439
Shred,6/24/2022,SD 18 - 23 SLC,89% (190/214),76% (13/17),65% (13/20),50% (13/26),40% (10/25),43% (10/23),69% (11/16),24,12,0.89,0.76,0.65,0.50,0.40,0.43,0.69,18,23,0.561
AlleyCats,6/25/2022,CHI 24 - 23 IND,95% (273/287),69% (9/13),62% (16/26),57% (16/28),29% (7/24),78% (7/9),71% (12/17),14,8,0.95,0.69,0.62,0.57,0.29,0.78,0.71,24,23,0.489
Cannons,6/25/2022,CAR 23 - 15 TB,88% (216/245),100% (6/6),52% (13/25),36% (13/36),12% (2/17),22% (2/9),63% (5/8),29,14,0.88,1.00,0.52,0.36,0.12,0.22,0.63,23,15,0.395
Cascades,6/25/2022,OAK 22 - 17 SEA,88% (199/225),47% (7/15),61% (14/23),47% (14/30),16% (3/19),23% (3/13),64% (7/11),26,13,0.88,0.47,0.61,0.47,0.16,0.23,0.64,22,17,0.436
Flyers,6/25/2022,CAR 23 - 15 TB,91% (229/251),56% (9/16),76% (13/17),54% (13/24),40% (10/25),48% (10/21),77% (17/22),22,10,0.91,0.56,0.76,0.54,0.40,0.48,0.77,23,15,0.605
Glory,6/25/2022,BOS 23 - 25 TOR,92% (201/219),83% (10/12),74% (20/27),65% (20/31),12% (3/25),27% (3/11),80% (4/5),18,8,0.92,0.83,0.74,0.65,0.12,0.27,0.80,23,25,0.479
Growlers,6/25/2022,SD 21 - 27 COL,94% (263/281),57% (8/14),66% (19/29),53% (19/36),9% (2/23),67% (2/3),86% (6/7),18,6,0.94,0.57,0.66,0.53,0.09,0.67,0.86,21,27,0.438
Legion,6/25/2022,DAL 20 - 26 ATX,90% (190/210),68% (13/19),57% (16/28),48% (16/33),19% (4/21),57% (4/7),80% (12/15),20,4,0.90,0.68,0.57,0.48,0.19,0.57,0.80,20,26,0.435
Radicals,6/25/2022,MAD 11 - 22 MIN,82% (190/232),36% (4/11),35% (8/23),21% (8/38),23% (3/13),20% (3/15),39% (7/18),42,10,0.82,0.36,0.35,0.21,0.23,0.20,0.39,11,22,0.333
Rush,6/25/2022,BOS 23 - 25 TOR,95% (272/287),80% (8/10),80% (20/25),61% (20/33),19% (5/27),56% (5/9),69% (9/13),15,9,0.95,0.80,0.80,0.61,0.19,0.56,0.69,23,25,0.521
Sol,6/25/2022,DAL 20 - 26 ATX,95% (263/277),50% (6/12),71% (15/21),63% (15/24),39% (11/28),69% (11/16),89% (16/18),14,10,0.95,0.50,0.71,0.63,0.39,0.69,0.89,20,26,0.565
Spiders,6/25/2022,OAK 22 - 17 SEA,93% (269/289),67% (2/3),79% (15/19),52% (15/29),30% (7/23),50% (7/14),77% (20/26),20,9,0.93,0.67,0.79,0.52,0.30,0.50,0.77,22,17,0.564
Summit,6/25/2022,SD 21 - 27 COL,96% (260/272),64% (9/14),83% (19/23),79% (19/24),28% (8/29),53% (8/15),88% (21/24),12,8,0.96,0.64,0.83,0.79,0.28,0.53,0.88,21,27,0.563
Union,6/25/2022,CHI 24 - 23 IND,96% (252/263),67% (8/12),63% (15/24),58% (15/26),35% (9/26),82% (9/11),81% (13/16),11,5,0.96,0.67,0.63,0.58,0.35,0.82,0.81,24,23,0.511
Wind Chill,6/25/2022,MAD 11 - 22 MIN,91% (300/331),40% (4/10),69% (9/13),38% (9/24),52% (12/23),41% (12/29),79% (19/24),31,16,0.91,0.40,0.69,0.38,0.52,0.41,0.79,11,22,0.667
Nitro,6/26/2022,OAK 36 - 21 POR,89% (221/249),100% (9/9),51% (19/37),44% (19/43),9% (2/23),33% (2/6),75% (12/16),28,8,0.89,1.00,0.51,0.44,0.09,0.33,0.75,36,21,0.368
Spiders,6/26/2022,OAK 36 - 21 POR,97% (345/357),79% (11/14),91% (21/23),78% (21/27),39% (15/38),71% (15/21),100% (19/19),12,13,0.97,0.79,0.91,0.78,0.39,0.71,1.00,36,21,0.632
Empire,7/1/2022,MTL 14 - 29 NY,95% (246/259),55% (6/11),81% (13/16),65% (13/20),52% (16/31),73% (16/22),100% (21/21),13,13,0.95,0.55,0.81,0.65,0.52,0.73,1.00,14,29,0.674
Royal,7/1/2022,MTL 14 - 29 NY,90% (225/251),56% (5/9),39% (12/31),32% (12/37),13% (2/16),33% (2/6),64% (9/14),26,5,0.90,0.56,0.39,0.32,0.13,0.33,0.64,14,29,0.326
Union,7/1/2022,MIN 25 - 22 CHI,95% (285/301),73% (8/11),77% (20/26),65% (20/31),8% (2/24),29% (2/7),88% (14/16),16,7,0.95,0.73,0.77,0.65,0.08,0.29,0.88,25,22,0.468
Wind Chill,7/1/2022,MIN 25 - 22 CHI,95% (251/264),43% (3/7),83% (20/24),71% (20/28),19% (5/26),50% (5/10),95% (20/21),13,9,0.95,0.43,0.83,0.71,0.19,0.50,0.95,25,22,0.532
AlleyCats,7/2/2022,PIT 26 - 28 IND,96% (280/292),80% (12/15),71% (20/28),67% (20/30),27% (8/30),73% (8/11),85% (11/13),12,7,0.96,0.80,0.71,0.67,0.27,0.73,0.85,26,28,0.519
Aviators,7/2/2022,LA 15 - 24 COL,93% (266/286),64% (7/11),48% (12/25),40% (12/30),19% (3/16),60% (3/5),59% (10/17),20,4,0.93,0.64,0.48,0.40,0.19,0.60,0.59,15,24,0.385
Breeze,7/2/2022,DC 22 - 21 PHI,96% (308/322),86% (6/7),70% (16/23),64% (16/25),26% (6/23),55% (6/11),79% (15/19),14,8,0.96,0.86,0.70,0.64,0.26,0.55,0.79,22,21,0.512
Flyers,7/2/2022,ATL 16 - 18 CAR,95% (331/349),50% (6/12),83% (15/18),60% (15/25),16% (3/19),25% (3/12),69% (11/16),18,9,0.95,0.50,0.83,0.60,0.16,0.25,0.69,16,18,0.529
Glory,7/2/2022,MTL 16 - 23 BOS,93% (252/272),47% (7/15),67% (12/18),55% (12/22),44% (11/25),50% (11/22),81% (17/21),20,12,0.93,0.47,0.67,0.55,0.44,0.50,0.81,16,23,0.59
Hustle,7/2/2022,ATL 16 - 18 CAR,91% (203/222),57% (8/14),74% (14/19),54% (14/26),11% (2/18),22% (2/9),58% (7/12),19,10,0.91,0.57,0.74,0.54,0.11,0.22,0.58,16,18,0.471
Legion,7/2/2022,ATX 26 - 16 DAL,87% (191/219),57% (8/14),54% (15/28),42% (15/36),6% (1/18),13% (1/8),57% (8/14),28,9,0.87,0.57,0.54,0.42,0.06,0.13,0.57,26,16,0.381
Mechanix,7/2/2022,MIN 33 - 19 DET,89% (222/249),63% (10/16),55% (18/33),45% (18/40),5% (1/21),14% (1/7),62% (8/13),27,9,0.89,0.63,0.55,0.45,0.05,0.14,0.62,33,19,0.365
Outlaws,7/2/2022,TOR 21 - 20 OTT,88% (208/236),54% (7/13),64% (14/22),48% (14/29),23% (5/22),26% (5/19),64% (9/14),28,14,0.88,0.54,0.64,0.48,0.23,0.26,0.64,21,20,0.488
Phoenix,7/2/2022,DC 22 - 21 PHI,94% (241/256),44% (8/18),65% (15/23),54% (15/28),26% (6/23),67% (6/9),85% (11/13),15,5,0.94,0.44,0.65,0.54,0.26,0.67,0.85,22,21,0.488
Royal,7/2/2022,MTL 16 - 23 BOS,90% (222/247),60% (9/15),40% (10/25),30% (10/33),33% (6/18),60% (6/10),62% (8/13),25,12,0.90,0.60,0.40,0.30,0.33,0.60,0.62,16,23,0.41
Rush,7/2/2022,TOR 21 - 20 OTT,87% (182/210),70% (14/20),68% (15/22),42% (15/36),27% (6/22),40% (6/15),40% (4/10),28,12,0.87,0.70,0.68,0.42,0.27,0.40,0.40,21,20,0.512
