Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
Thunderbirds,6/19/2021,PIT 18 - 27 PHI,87% (192/221),57% (8/14),61% (17/28),41% (17/41),5% (1/20),17% (1/6),75% (9/12),29,11,0.87,0.57,0.61,0.41,0.05,0.17,0.75,18,27,0.4
Union,6/19/2021,CHI 30 - 13 DET,96% (266/277),50% (3/6),93% (14/15),88% (14/16),50% (16/32),59% (16/27),90% (26/29),11,18,0.96,0.50,0.93,0.88,0.50,0.59,0.90,30,13,0.698
AlleyCats,6/20/2021,IND 20 - 24 MAD,93% (296/320),42% (5/12),48% (12/25),44% (12/27),32% (7/22),44% (7/16),78% (7/9),24,12,0.93,0.42,0.48,0.44,0.32,0.44,0.78,20,24,0.455
Cascades,6/20/2021,SD 18 - 16 SEA,89% (232/262),60% (9/15),60% (12/20),34% (12/35),22% (4/18),36% (4/11),69% (9/13),30,12,0.89,0.60,0.60,0.34,0.22,0.36,0.69,18,16,0.471
Growlers,6/20/2021,SD 18 - 16 SEA,90% (240/268),47% (7/15),67% (12/18),48% (12/25),30% (6/20),26% (6/23),60% (9/15),28,15,0.90,0.47,0.67,0.48,0.30,0.26,0.60,18,16,0.529
Radicals,6/20/2021,IND 20 - 24 MAD,93% (259/279),55% (6/11),59% (13/22),42% (13/31),44% (11/25),79% (11/14),82% (18/22),20,12,0.93,0.55,0.59,0.42,0.44,0.79,0.82,20,24,0.545
Aviators,6/25/2021,DAL 21 - 16 LA,90% (207/229),50% (4/8),52% (12/23),41% (12/29),22% (4/18),44% (4/9),65% (11/17),22,7,0.90,0.50,0.52,0.41,0.22,0.44,0.65,21,16,0.432
Cannons,6/25/2021,TB 17 - 24 BOS,88% (196/223),42% (5/12),52% (13/25),37% (13/35),21% (4/19),44% (4/9),69% (9/13),27,13,0.88,0.42,0.52,0.37,0.21,0.44,0.69,17,24,0.415
Cascades,6/25/2021,AUS 24 - 28 SEA,93% (237/255),63% (12/19),73% (19/26),56% (19/34),30% (9/30),69% (9/13),84% (16/19),18,11,0.93,0.63,0.73,0.56,0.30,0.69,0.84,24,28,0.538
Flyers,6/25/2021,PHI 11 - 23 RAL,92% (210/228),46% (6/13),75% (9/12),64% (9/14),56% (14/25),52% (14/27),77% (20/26),18,13,0.92,0.46,0.75,0.64,0.56,0.52,0.77,11,23,0.676
Glory,6/25/2021,TB 17 - 24 BOS,93% (256/275),42% (5/12),79% (15/19),63% (15/24),36% (9/25),45% (9/20),83% (20/24),19,18,0.93,0.42,0.79,0.63,0.36,0.45,0.83,17,24,0.585
Legion,6/25/2021,DAL 21 - 16 LA,94% (261/279),71% (10/14),72% (13/18),57% (13/23),35% (8/23),50% (8/16),76% (16/21),18,7,0.94,0.71,0.72,0.57,0.35,0.50,0.76,21,16,0.568
Phoenix,6/25/2021,PHI 11 - 23 RAL,89% (257/289),30% (3/10),36% (9/25),24% (9/38),17% (2/12),40% (2/5),40% (4/10),32,9,0.89,0.30,0.36,0.24,0.17,0.40,0.40,11,23,0.324
Sol,6/25/2021,AUS 24 - 28 SEA,93% (293/315),55% (6/11),60% (18/30),56% (18/32),23% (6/26),43% (6/14),88% (14/16),22,9,0.93,0.55,0.60,0.56,0.23,0.43,0.88,24,28,0.538
AlleyCats,6/26/2021,CHI 28 - 20 IND,95% (305/322),73% (11/15),60% (18/30),56% (18/32),9% (2/22),40% (2/5),50% (5/10),17,7,0.95,0.73,0.60,0.56,0.09,0.40,0.50,28,20,0.417
Cannons,6/26/2021,TB 18 - 24 NY,92% (245/267),47% (8/17),69% (18/26),49% (18/37),0% (0/20),0% (0/4),71% (12/17),22,7,0.92,0.47,0.69,0.49,0.00,0.00,0.71,18,24,0.429
Empire,6/26/2021,TB 18 - 24 NY,94% (232/247),57% (8/14),80% (16/20),73% (16/22),31% (8/26),42% (8/19),89% (17/19),15,7,0.94,0.57,0.80,0.73,0.31,0.42,0.89,18,24,0.571
Growlers,6/26/2021,DAL 20 - 21 SD,95% (212/223),83% (10/12),77% (17/22),63% (17/27),17% (4/23),67% (4/6),81% (13/16),11,2,0.95,0.83,0.77,0.63,0.17,0.67,0.81,20,21,0.512
Hustle,6/26/2021,PHI 17 - 24 ATL,95% (224/237),67% (6/9),83% (15/18),71% (15/21),36% (9/25),53% (9/17),100% (18/18),13,14,0.95,0.67,0.83,0.71,0.36,0.53,1.00,17,24,0.585
Legion,6/26/2021,DAL 20 - 21 SD,96% (291/304),25% (2/8),74% (17/23),68% (17/25),14% (3/22),38% (3/8),93% (13/14),13,5,0.96,0.25,0.74,0.68,0.14,0.38,0.93,20,21,0.488
Mechanix,6/26/2021,DET 17 - 29 MIN,90% (246/272),57% (4/7),48% (15/31),39% (15/38),11% (2/19),25% (2/8),75% (9/12),26,8,0.90,0.57,0.48,0.39,0.11,0.25,0.75,17,29,0.37
Phoenix,6/26/2021,PHI 17 - 24 ATL,93% (284/305),47% (9/19),60% (15/25),47% (15/32),11% (2/18),33% (2/6),90% (9/10),21,4,0.93,0.47,0.60,0.47,0.11,0.33,0.90,17,24,0.415
Sol,6/26/2021,AUS 23 - 28 SJ,93% (299/322),50% (8/16),63% (19/30),56% (19/34),16% (4/25),33% (4/12),74% (17/23),23,13,0.93,0.50,0.63,0.56,0.16,0.33,0.74,23,28,0.549
Spiders,6/26/2021,AUS 23 - 28 SJ,92% (201/218),60% (9/15),80% (20/25),61% (20/33),27% (8/30),67% (8/12),83% (15/18),17,14,0.92,0.60,0.80,0.61,0.27,0.67,0.83,23,28,0.549
Union,6/26/2021,CHI 28 - 20 IND,97% (245/252),80% (8/10),73% (16/22),67% (16/24),37% (11/30),85% (11/13),100% (18/18),7,8,0.97,0.80,0.73,0.67,0.37,0.85,1.00,28,20,0.583
Wind Chill,6/26/2021,DET 17 - 29 MIN,95% (278/294),57% (4/7),84% (16/19),67% (16/24),42% (13/31),59% (13/22),81% (22/27),16,13,0.95,0.57,0.84,0.67,0.42,0.59,0.81,17,29,0.63
Mechanix,6/27/2021,DET 18 - 29 MAD,94% (333/354),55% (6/11),52% (16/31),46% (16/35),10% (2/20),33% (2/6),71% (10/14),21,5,0.94,0.55,0.52,0.46,0.10,0.33,0.71,18,29,0.383
Radicals,6/27/2021,DET 18 - 29 MAD,96% (253/264),75% (6/8),85% (17/20),71% (17/24),39% (12/31),71% (12/17),90% (19/21),11,8,0.96,0.75,0.85,0.71,0.39,0.71,0.90,18,29,0.617
Breeze,7/2/2021,NY 17 - 20 DC,95% (329/345),50% (6/12),79% (15/19),63% (15/24),23% (5/22),38% (5/13),74% (14/19),16,13,0.95,0.50,0.79,0.63,0.23,0.38,0.74,17,20,0.541
Cascades,7/2/2021,SEA 16 - 23 AUS,87% (186/213),42% (5/12),44% (11/25),35% (11/31),28% (5/18),42% (5/12),57% (8/14),27,8,0.87,0.42,0.44,0.35,0.28,0.42,0.57,16,23,0.41
Empire,7/2/2021,NY 17 - 20 DC,92% (244/264),50% (5/10),68% (15/22),52% (15/29),11% (2/19),25% (2/8),87% (13/15),20,9,0.92,0.50,0.68,0.52,0.11,0.25,0.87,17,20,0.459
Radicals,7/2/2021,MAD 15 - 18 CHI,96% (279/292),43% (3/7),65% (13/20),54% (13/24),13% (2/16),50% (2/4),77% (10/13),13,7,0.96,0.43,0.65,0.54,0.13,0.50,0.77,15,18,0.455
